Table,Column,,,
fact_web_sessions,session_duration_seconds,,,
fact_web_sessions,session_date,,,
fact_web_sessions,session_time,,,
fact_web_sessions,session_datetime,,,
fact_web_sessions,geography_key,,,
fact_web_sessions,web_sessions_key,,,
fact_web_pageviews,pageview_duration_seconds,,,
fact_web_pageviews,pageview_start_date,,,
fact_web_pageviews,pageview_start_time,,,
fact_web_pageviews,pageview_start_datetime,,,
fact_web_pageviews,geography_key,,,
fact_web_pageviews,web_page_key,,,
fact_web_pageviews,web_sessions_key,,,
fact_web_pageviews,web_pageviews_key,,,
fact_activities,activity_quantity,,,
fact_activities,activity_amount,,,
fact_activities,activity_duration,,,
fact_activities,activity_date,,,
fact_activities,activity_start_date,,,
fact_activities,activity_end_date,,,
fact_activities,activity_level_key,,,
fact_activities,individual_key,,,
fact_activities,company_key,,,
fact_activities,geography_key,,,
fact_activities,activities_key,,,
dim_memberships,memberships_key,,,
dim_memberships,membership_status,,,
dim_memberships,membership_lifecycle,,,
dim_memberships,membership_lifecycle_next,,,
dim_memberships,membership_entity,,,
dim_event_registrations,event_registrations_key,,,
dim_event_registrations,event_registration_status,,,
dim_event_sessions,event_sessions_key,,,
dim_event_sessions,event_session_status,,,
dim_event_purchases,event_purchases_key,,,
dim_event_purchases,event_purchase_status,,,
dim_sales_lines,sales_lines_key,,,
dim_sales_lines,sales_line_status,,,
dim_sales_orders,sales_orders_key,,,
dim_sales_orders,sales_order_status,,,
dim_sales_orders,sales_order_entity,,,
dim_email_sends,email_sends_key,,,
dim_email_sends,email_send_status,,,
dim_email_opens,email_opens_key,,,
dim_email_opens,email_first_open_flag,,,
dim_email_clicks,email_clicks_key,,,
dim_email_clicks,email_first_click_flag,,,
dim_email_clicks,email_click_url,,,
dim_email_clicks,email_click_domain,,,
dim_email_summaries,email_summaries_key,,,
dim_email_summaries,email_summaries,,,
dim_community_activities,community_activities_key,,,
dim_community_activities,community_activity_description,,,
dim_community_discussion_posts,community_discussion_posts_key,,,
dim_community_discussion_posts,discussion_post_subject,,,
dim_community_discussion_posts,discussion_post_content,,,
